,Quarter,Tm,Detail,BAL,CHI
0,1.0,Colts,Willie Richardson 28 yard pass from Earl Morrall (Lou Michaels kick),7,0
1,2.0,Bears,George Youngblood 22 yard interception return (Mac Percival kick),7,7
2,3.0,Colts,Willie Richardson 36 yard pass from Earl Morrall (Lou Michaels kick),14,7
3,3.0,Bears,Gale Sayers 1 yard rush (Mac Percival kick),14,14
4,4.0,Bears,Bobby Douglass 1 yard rush (Mac Percival kick),14,21
5,4.0,Colts,Terry Cole 16 yard rush (Lou Michaels kick),21,21
6,4.0,Colts,Lou Michaels 17 yard field goal,24,21
