,Quarter,Tm,Detail,RAM,SFO
0,1.0,49ers,Gordie Soltau 37 yard field goal,0,3
1,1.0,Rams,Billy Wade 8 yard rush (Les Richter kick),7,3
2,2.0,49ers,Gordie Soltau 39 yard field goal,7,6
3,2.0,49ers,Gordie Soltau 15 yard field goal,7,9
4,2.0,49ers,Gordie Soltau 25 yard field goal,7,12
5,2.0,Rams,Les Richter 12 yard field goal,10,12
6,3.0,Rams,Bob Boyd 24 yard pass from Billy Wade,16,12
7,3.0,49ers,Joe Perry 28 yard rush (Gordie Soltau kick),16,19
8,3.0,Rams,Elroy Hirsch 57 yard pass from Billy Wade (Les Richter kick),23,19
9,4.0,49ers,Hugh McElhenny 2 yard rush (Gordie Soltau kick),23,26
10,4.0,49ers,Hugh McElhenny 2 yard rush (Gordie Soltau kick),23,33
11,4.0,Rams,Elroy Hirsch 3 yard pass from Norm Van Brocklin (Les Richter kick),30,33
