,Quarter,Tm,Detail,KAN,HOU
0,1,Oilers,Stan Edwards 3 yard pass from Gifford Nielsen (Florian Kempf kick),0,7
1,2,Chiefs,Willie Scott 4 yard pass from Bill Kenney (Nick Lowery kick),7,7
2,2,Chiefs,Nick Lowery 31 yard field goal,10,7
3,4,Oilers,Florian Kempf 32 yard field goal,10,10
4,OT,Chiefs,Nick Lowery 41 yard field goal,13,10
