,Quarter,Time,Tm,Detail,GNB,TAM
0,1.0,,Packers,Ryan Longwell 33 yard field goal,3,0
1,1.0,,Buccaneers,Jacquez Green 64 yard pass from Trent Dilfer (Michael Husted kick),3,7
2,2.0,,Buccaneers,Bert Emanuel 62 yard pass from Trent Dilfer (Michael Husted kick),3,14
3,2.0,,Packers,Ryan Longwell 36 yard field goal,6,14
4,3.0,,Buccaneers,Michael Husted 46 yard field goal,6,17
5,3.0,,Packers,Ryan Longwell 35 yard field goal,9,17
6,4.0,,Packers,Mark Chmura 4 yard pass from Brett Favre (pass failed),15,17
7,4.0,,Buccaneers,Trent Dilfer 6 yard rush (Michael Husted kick),15,24
8,4.0,,Packers,Mark Chmura 1 yard pass from Brett Favre (Ryan Longwell kick),22,24
