,Quarter,Time,Tm,Detail,NYG,BUF
0,1.0,10:20,Giants,Josh Brown 47 yard field goal,3,0
1,1.0,4:33,Bills,Dan Carpenter 51 yard field goal,3,3
2,1.0,0:25,Giants,Dwayne Harris 21 yard pass from Eli Manning (Josh Brown kick failed),9,3
3,2.0,10:42,Giants,Rueben Randle 11 yard pass from Eli Manning (Josh Brown kick),16,3
4,4.0,9:41,Bills,Karlos Williams 23 yard pass from Tyrod Taylor (Dan Carpenter kick),16,10
5,4.0,7:42,Giants,Rashad Jennings 51 yard pass from Eli Manning (Andre Williams run),24,10
