,Quarter,Tm,Detail,MIN,WAS
0,1.0,Redskins,Larry Brown 2 yard rush (Mark Moseley kick),0,7
1,2.0,Redskins,Mike Thomas 28 yard pass from Billy Kilmer (Mark Moseley kick),0,14
2,2.0,Redskins,Frank Grant 27 yard pass from Billy Kilmer (Mark Moseley kick),0,21
3,2.0,Vikings,Chuck Foreman 8 yard pass from Fran Tarkenton (Fred Cox kick),7,21
4,3.0,Vikings,Chuck Foreman 3 yard rush (Fred Cox kick),14,21
5,3.0,Redskins,Mark Moseley 32 yard field goal,14,24
6,4.0,Vikings,Fred Cox 33 yard field goal,17,24
7,4.0,Vikings,Fran Tarkenton 21 yard rush,23,24
8,4.0,Vikings,Chuck Foreman 31 yard rush (Fred Cox kick),30,24
9,4.0,Redskins,Frank Grant 15 yard pass from Billy Kilmer (Mark Moseley kick),30,31
