,Quarter,Tm,Detail,CHI,RAM
0,1.0,Rams,Julie Alfonse 10 yard touchdown on a lateral (Bob Snyder kick),0,7
1,3.0,Rams,Carl Littlefield 25 yard fumble return (Nels Peterson kick),0,14
2,3.0,Bears,Bert Johnson 5 yard rush (Jack Manders kick),7,14
