,Quarter,Time,Tm,Detail,DAL,PHI
0,1.0,,Cowboys,Michael Irvin 19 yard pass from Rodney Peete (Chris Boniol kick),7,0
1,2.0,,Eagles,Eddie Murray 22 yard field goal,7,3
2,2.0,,Cowboys,Emmitt Smith 4 yard rush (Chris Boniol kick),14,3
3,2.0,,Eagles,Eddie Murray 19 yard field goal,14,6
4,3.0,,Cowboys,Emmitt Smith 3 yard rush (Chris Boniol kick),21,6
5,3.0,,Eagles,Fred Barnett 25 yard pass from Randall Cunningham (Eddie Murray kick),21,13
6,4.0,6:07,Cowboys,Chris Boniol 19 yard field goal,24,13
7,4.0,6:07,Eagles,Maurice Johnson 5 yard pass from Randall Cunningham (pass failed),24,19
8,4.0,6:07,Cowboys,Darren Woodson 94 yard interception return (Chris Boniol kick),31,19
