,Quarter,Time,Tm,Detail,DAL,DET
0,1.0,12:38,Lions,Bo Scarbrough 5 yard rush (Matt Prater kick),0,7
1,1.0,2:22,Cowboys,Brett Maher 30 yard field goal,3,7
2,2.0,14:19,Cowboys,Tony Pollard 21 yard pass from Dak Prescott (Brett Maher kick),10,7
3,2.0,7:49,Lions,Jeff Driskel 2 yard rush (Matt Prater kick),10,14
4,2.0,4:42,Cowboys,Ezekiel Elliott 1 yard rush (Brett Maher kick),17,14
5,2.0,0:33,Cowboys,Randall Cobb 19 yard pass from Dak Prescott (Brett Maher kick),24,14
6,3.0,9:22,Lions,Marvin Jones 11 yard pass from Jeff Driskel (Matt Prater kick),24,21
7,3.0,5:05,Cowboys,Brett Maher 34 yard field goal,27,21
8,4.0,8:03,Cowboys,Ezekiel Elliott 17 yard pass from Dak Prescott (Tony Pollard run),35,21
9,4.0,5:58,Lions,Marvin Jones 25 yard pass from Jeff Driskel (pass failed),35,27
