,Quarter,Time,Tm,Detail,JAX,BAL
0,1.0,8:07,Ravens,Errict Rhett 20 yard pass from Tony Banks (Matt Stover kick),0,7
1,1.0,3:18,Ravens,Matt Stover 46 yard field goal,0,10
2,2.0,10:38,Jaguars,Jimmy Smith 8 yard pass from Mark Brunell (Mike Hollis kick),7,10
3,2.0,1:00,Ravens,Matt Stover 31 yard field goal,7,13
4,3.0,0:04,Ravens,Matt Stover 33 yard field goal,7,16
5,4.0,11:00,Jaguars,Keenan McCardell 1 yard pass from Mark Brunell (Mike Hollis kick),14,16
6,4.0,10:44,Jaguars,Tony Brackens 21 yard interception return (Keenan McCardell pass from Mark Brunell),22,16
7,4.0,6:26,Ravens,Charles Evans 3 yard pass from Tony Banks (Matt Stover kick),22,23
8,4.0,1:39,Jaguars,James Stewart 4 yard rush (Jimmy Smith pass from Mark Brunell),30,23
