,Quarter,Tm,Detail,WAS,PIT
0,2.0,Redskins,Rob Goode 2 yard rush,6,0
1,2.0,Steelers,Ray Mathews 68 yard punt return (Joe Geri kick),6,7
2,3.0,Redskins,Bill Dudley 30 yard field goal,9,7
3,4.0,Redskins,Bill Dudley 37 yard field goal,12,7
4,4.0,Redskins,Bill Dudley 37 yard field goal,15,7
5,4.0,Redskins,Rob Goode 10 yard rush (Bill Dudley kick),22,7
