,Quarter,Tm,Detail,PHI,RAM
0,1.0,Eagles,Roger Ruzek 43 yard field goal,3,0
1,1.0,Rams,Henry Ellard 50 yard pass from Jim Everett (Mike Lansford kick),3,7
2,2.0,Eagles,Mike Quick 15 yard pass from Randall Cunningham (Roger Ruzek kick),10,7
3,2.0,Rams,Buford McGee 10 yard pass from Jim Everett (Mike Lansford kick),10,14
4,2.0,Eagles,Calvin Williams 14 yard pass from Randall Cunningham (Roger Ruzek kick),17,14
5,3.0,Eagles,Roger Ruzek 18 yard field goal,20,14
6,4.0,Eagles,Robert Drummond 2 yard rush (Roger Ruzek kick),27,14
7,4.0,Rams,Cleveland Gary 1 yard rush (Mike Lansford kick),27,21
