,Quarter,Time,Tm,Detail,KAN,NWE
0,1.0,1:30,Chiefs,Ryan Succop 26 yard field goal,3,0
1,2.0,4:18,Patriots,Rob Gronkowski 52 yard pass from Tom Brady (Stephen Gostkowski kick),3,7
2,2.0,0:10,Patriots,Stephen Gostkowski 21 yard field goal,3,10
3,3.0,10:27,Patriots,Rob Gronkowski 19 yard pass from Tom Brady (Stephen Gostkowski kick),3,17
4,3.0,9:24,Patriots,Julian Edelman 72 yard punt return (Stephen Gostkowski kick),3,24
5,3.0,0:00,Patriots,Stephen Gostkowski 19 yard field goal,3,27
6,4.0,1:01,Patriots,Shane Vereen 4 yard rush (Stephen Gostkowski kick),3,34
