,Quarter,Tm,Detail,WAS,RAM
0,1.0,Rams,"Safety, Baughs pass hit goal post",0,2
1,2.0,Redskins,Steve Bagarus 38 yard pass from Frank Filchock (Joe Aguirre kick),7,2
2,2.0,Rams,Jim Benton 37 yard pass from Bob Waterfield (Bob Waterfield kick),7,9
3,3.0,Rams,Jim Gillette 44 yard pass from Bob Waterfield,7,15
4,3.0,Redskins,Bob Seymour 8 yard pass from Frank Filchock (Joe Aguirre kick),14,15
