,Quarter,Tm,Detail,NYG,CRD
0,1.0,Giants,Mel Triplett 2 yard rush,6,0
1,2.0,Cardinals,Lamar McHan 2 yard rush (Pat Summerall kick),6,7
2,2.0,Giants,Mel Triplett 2 yard rush (Frank Gifford kick),13,7
3,2.0,Cardinals,Night Train Lane 66 yard interception return (Pat Summerall kick),13,14
4,3.0,Cardinals,Don Stonesifer 58 yard pass from Lamar McHan (Pat Summerall kick),13,21
5,3.0,Cardinals,Gern Nagler 17 yard pass from Lamar McHan (Pat Summerall kick),13,28
6,4.0,Cardinals,Lamar McHan 13 yard rush (Pat Summerall kick),13,35
7,4.0,Giants,Mel Triplett 1 yard rush (Frank Gifford kick),20,35
8,4.0,Giants,Ken MacAfee 4 yard pass from Charlie Conerly (Frank Gifford kick),27,35
