,Quarter,Tm,Detail,STL,WAS
0,1.0,Redskins,Mark Moseley 28 yard field goal,0,3
1,1.0,Cardinals,Ron Yankowski 71 yard defensive fumble return (Jim Bakken kick),7,3
2,2.0,Cardinals,Terry Metcalf 75 yard rush (Jim Bakken kick),14,3
3,2.0,Redskins,Alvin Reed 11 yard pass from Billy Kilmer (Mark Moseley kick),14,10
4,3.0,Cardinals,Jim Bakken 46 yard field goal,17,10
