,Quarter,Tm,Detail,ATL,TAM
0,1.0,Falcons,Tracy Johnson 3 yard rush (Greg Davis kick),7,0
1,2.0,Buccaneers,Willie Drewrey 89 yard pass from Vinny Testaverde (Steve Christie kick),7,7
2,2.0,Buccaneers,Steve Christie 39 yard field goal,7,10
3,2.0,Buccaneers,Steve Christie 44 yard field goal,7,13
4,4.0,Falcons,Mike Rozier 9 yard rush (Greg Davis kick),14,13
5,4.0,Buccaneers,Steve Christie 21 yard field goal,14,16
6,4.0,Falcons,Greg Davis 46 yard field goal,17,16
7,4.0,Buccaneers,Mark Carrier 35 yard pass from Vinny Testaverde (Steve Christie kick),17,23
