,Quarter,Time,Tm,Detail,TEN,DAL
0,1.0,6:12,Cowboys,Amari Cooper 4 yard pass from Dak Prescott (Brett Maher kick),0,7
1,2.0,9:35,Titans,Derrick Henry 1 yard rush (Ryan Succop kick),7,7
2,2.0,4:11,Titans,Dion Lewis 18 yard pass from Marcus Mariota (Ryan Succop kick),14,7
3,2.0,0:39,Cowboys,Allen Hurns 23 yard pass from Dak Prescott (Brett Maher kick),14,14
4,3.0,5:44,Titans,Jonnu Smith 7 yard pass from Marcus Mariota (Ryan Succop kick),21,14
5,4.0,4:38,Titans,Marcus Mariota 9 yard rush (Ryan Succop kick),28,14
