,Quarter,Tm,Detail,GNB,NOR
0,1.0,Packers,Gerry Ellis 9 yard pass from Lynn Dickey (Jan Stenerud kick),7,0
1,1.0,Packers,John Jefferson 24 yard pass from Lynn Dickey (Jan Stenerud kick),14,0
2,2.0,Packers,James Lofton 25 yard pass from Lynn Dickey (Jan Stenerud kick),21,0
3,3.0,Saints,George Rogers 3 yard rush (Benny Ricardo kick),21,7
4,3.0,Packers,Paul Coffman 2 yard pass from Lynn Dickey (Jan Stenerud kick),28,7
5,4.0,Packers,John Jefferson 30 yard pass from Lynn Dickey (Jan Stenerud kick),35,7
