,Quarter,Tm,Detail,MIA,IND
0,1.0,Dolphins,Keith Jackson 2 yard pass from Dan Marino (Pete Stoyanovich kick),7,0
1,1.0,Dolphins,Mark Higgs 3 yard rush (Pete Stoyanovich kick),14,0
2,2.0,Dolphins,Fred Banks 3 yard pass from Dan Marino (Pete Stoyanovich kick),21,0
3,4.0,Dolphins,Tony Paige 1 yard rush (Pete Stoyanovich kick),28,0
