,Quarter,Tm,Detail,CHI,CRD
0,1.0,Cardinals,Pat Harder 23 yard field goal,0,3
1,2.0,Cardinals,Jim Hardy 7 yard rush (Pat Harder kick),0,10
2,2.0,Bears,Johnny Lujack 1 yard rush (Johnny Lujack kick),7,10
3,3.0,Bears,Johnny Lujack 15 yard field goal,10,10
4,4.0,Cardinals,Don Paul 35 yard pass from Jim Hardy (Pat Harder kick),10,17
5,4.0,Cardinals,Vinnie Yablonski 26 yard field goal,10,20
