,Quarter,Tm,Detail,SFO,RAM
0,1.0,49ers,Billy Wilson 57 yard pass from Y.A. Tittle (Tommy Davis kick),7,0
1,2.0,49ers,J.D. Smith 1 yard rush (Tommy Davis kick),14,0
2,2.0,49ers,Tommy Davis 21 yard field goal,17,0
3,2.0,Rams,Lou Michaels 20 yard field goal,17,3
4,3.0,Rams,Ollie Matson 1 yard rush (Lou Michaels kick),17,10
5,3.0,49ers,Abe Woodson 105 yard kickoff return (Tommy Davis kick),24,10
6,4.0,Rams,Frank Ryan 8 yard rush,24,16
