,Quarter,Tm,Detail,PHO,NYG
0,1.0,Giants,Rodney Hampton 12 yard rush (Matt Bahr kick),0,7
1,1.0,Cardinals,Greg Davis 52 yard field goal,3,7
2,1.0,Giants,Zeke Mowatt 7 yard pass from Jeff Hostetler (Matt Bahr kick),3,14
3,2.0,Giants,Matt Bahr 42 yard field goal,3,17
4,3.0,Cardinals,Greg Davis 40 yard field goal,6,17
5,3.0,Cardinals,Greg Davis 29 yard field goal,9,17
6,4.0,Giants,Matt Bahr 27 yard field goal,9,20
