,Quarter,Tm,Detail,DAL,NYJ
0,1.0,Jets,John Riggins 1 yard rush (Pat Leahy kick),0,7
1,1.0,Jets,Carl Garrett 8 yard rush (Pat Leahy kick),0,14
2,2.0,Cowboys,Robert Newhouse 3 yard rush (Toni Fritsch kick),7,14
3,2.0,Cowboys,Doug Dennison 1 yard rush (Toni Fritsch kick),14,14
4,3.0,Cowboys,Drew Pearson 10 yard pass from Clint Longley (Toni Fritsch kick),21,14
5,3.0,Cowboys,Toni Fritsch 22 yard field goal,24,14
6,4.0,Jets,Bob Gresham 7 yard rush (Pat Leahy kick),24,21
7,4.0,Cowboys,Randy Hughes 33 yard interception return (Toni Fritsch kick),31,21
