,Quarter,Time,Tm,Detail,JAX,OAK
0,1.0,,Jaguars,Keenan McCardell 35 yard pass from Mark Brunell (Mike Hollis kick),7,0
1,1.0,,Jaguars,Damon Jones 26 yard pass from Mark Brunell (Mike Hollis kick),14,0
2,2.0,,Raiders,Cole Ford 33 yard field goal,14,3
3,3.0,,Raiders,Rickey Dudley 2 yard pass from Jeff George (pass failed),14,9
4,4.0,,Jaguars,Mike Hollis 19 yard field goal,17,9
5,4.0,,Jaguars,Mike Hollis 23 yard field goal,20,9
