,Quarter,Tm,Detail,DEN,MIN
0,1.0,Broncos,Vance Johnson 3 yard pass from John Elway,6,0
1,2.0,Broncos,Mel Bratton 1 yard rush (David Treadwell kick),13,0
2,2.0,Broncos,David Treadwell 31 yard field goal,16,0
3,2.0,Vikings,Rick Fenney 4 yard rush (Donald Igwebuike kick),16,7
4,3.0,Vikings,Donald Igwebuike 38 yard field goal,16,10
5,3.0,Vikings,Joey Browner 26 yard interception return (Donald Igwebuike kick),16,17
6,3.0,Broncos,David Treadwell 46 yard field goal,19,17
7,3.0,Broncos,David Treadwell 46 yard field goal,22,17
8,4.0,Vikings,Anthony Carter 56 yard pass from Rich Gannon (Donald Igwebuike kick),22,24
9,4.0,Vikings,Donald Igwebuike 41 yard field goal,22,27
