,Quarter,Tm,Detail,PHI,KAN
0,1.0,Eagles,Ben Hawkins 67 yard pass from Pete Liske (Tom Dempsey kick),7,0
1,1.0,Eagles,Harold Jackson 36 yard pass from Pete Liske (Tom Dempsey kick),14,0
2,2.0,Eagles,Harold Jackson 41 yard pass from Pete Liske (Tom Dempsey kick),21,0
3,2.0,Chiefs,Jan Stenerud 31 yard field goal,21,3
4,2.0,Chiefs,Jan Stenerud 37 yard field goal,21,6
5,3.0,Chiefs,Ed Podolak 11 yard rush (Jan Stenerud kick),21,13
6,4.0,Chiefs,Willie Frazier 20 yard pass from Len Dawson (Jan Stenerud kick),21,20
