,Quarter,Tm,Detail,GNB,MIN
0,1.0,Vikings,Ahmad Rashad 50 yard pass from Tommy Kramer (Rick Danmeier kick),0,7
1,1.0,Vikings,Joe Senser 13 yard pass from Tommy Kramer (Rick Danmeier kick),0,14
2,2.0,Packers,Harlan Huckleby 1 yard rush (Jan Stenerud kick),7,14
3,2.0,Packers,John Jefferson 30 yard pass from Lynn Dickey (Jan Stenerud kick),14,14
4,3.0,Packers,Harlan Huckleby 9 yard pass from Lynn Dickey (Jan Stenerud kick),21,14
5,3.0,Vikings,Ted Brown 6 yard rush,21,20
6,3.0,Packers,Harlan Huckleby 1 yard rush (Jan Stenerud kick),28,20
7,4.0,Packers,James Lofton 47 yard pass from Lynn Dickey (Jan Stenerud kick),35,20
8,4.0,Vikings,Rick Danmeier 22 yard field goal,35,23
