,Quarter,Time,Tm,Detail,NOR,STL
0,1.0,2:43,Rams,Robert Holcombe 1 yard rush (Jeff Hall kick),0,7
1,1.0,0:08,Saints,Brian Milne 4 yard pass from Aaron Brooks (Doug Brien kick),7,7
2,2.0,10:28,Saints,Jerald Moore 3 yard rush (Doug Brien kick),14,7
3,2.0,1:55,Saints,Aaron Brooks 2 yard rush (Doug Brien kick),21,7
4,2.0,0:00,Rams,Jeff Hall 28 yard field goal,21,10
5,3.0,9:27,Saints,Doug Brien 30 yard field goal,24,10
6,3.0,6:50,Rams,Az-Zahir Hakim 35 yard pass from Trent Green (Jeff Hall kick),24,17
7,4.0,11:06,Rams,Ricky Proehl 19 yard pass from Trent Green (Jeff Hall kick),24,24
8,4.0,3:50,Saints,Aaron Brooks 1 yard rush (Doug Brien kick),31,24
