,Quarter,Tm,Detail,MIA,PHI
0,1.0,Dolphins,Terry Kirby 8 yard pass from Scott Mitchell,6,0
1,2.0,Eagles,Calvin Williams 11 yard pass from Ken O'Brien (Matt Bahr kick),6,7
2,2.0,Dolphins,Mark Higgs 1 yard rush (Pete Stoyanovich kick),13,7
3,2.0,Eagles,Calvin Williams 8 yard pass from Ken O'Brien (Matt Bahr kick),13,14
4,3.0,Dolphins,Pete Stoyanovich 46 yard field goal,16,14
5,4.0,Dolphins,Pete Stoyanovich 45 yard field goal,19,14
