,Quarter,Tm,Detail,SEA,KAN
0,1.0,Seahawks,Nesby Glasgow 38 yard defensive fumble return (Norm Johnson kick),7,0
1,1.0,Chiefs,Christian Okoye 8 yard rush (Nick Lowery kick),7,7
2,2.0,Chiefs,Steve Pelluer 10 yard rush (Nick Lowery kick),7,14
3,2.0,Chiefs,Nick Lowery 34 yard field goal,7,17
4,2.0,Seahawks,Norm Johnson 18 yard field goal,10,17
5,4.0,Chiefs,Nick Lowery 33 yard field goal,10,20
