,Quarter,Tm,Detail,CLE,NYG
0,1.0,Browns,Milt Morin 20 yard pass from Frank Ryan (Lou Groza kick),7,0
1,2.0,Browns,Leroy Kelly 3 yard rush (Lou Groza kick),14,0
2,2.0,Giants,Homer Jones 17 yard pass from Gary Wood (Pete Gogolak kick),14,7
3,4.0,Browns,Ernie Green 14 yard rush (Lou Groza kick),21,7
4,4.0,Browns,Paul Warfield 9 yard pass from Frank Ryan (Lou Groza kick),28,7
