,Quarter,Tm,Detail,PHI,CRD
0,1.0,Eagles,Bill Stribling 58 yard pass from Bobby Thomason (Bobby Walston kick),7,0
1,1.0,Eagles,Bobby Walston 21 yard pass from Bobby Thomason (Bobby Walston kick),14,0
2,1.0,Eagles,Bobby Walston 26 yard field goal,17,0
3,2.0,Cardinals,Ollie Matson 1 yard rush (Pat Summerall kick),17,7
4,3.0,Cardinals,Leo Sugar 21 yard fumble return (Pat Summerall kick),17,14
5,4.0,Eagles,Bobby Thomason 1 yard rush (Bobby Walston kick),24,14
6,4.0,Cardinals,Ollie Matson 4 yard rush (Pat Summerall kick),24,21
7,4.0,Eagles,Bobby Thomason 1 yard rush (Bobby Walston kick),31,21
8,4.0,Eagles,Rocky Ryan 13 yard pass from Al Dorow (Bobby Walston kick),38,21
