,Quarter,Tm,Detail,WAS,CRD
0,1.0,Redskins,Charlie Justice 52 yard pass from Jack Scarbath (Bill Dudley kick),7,0
1,1.0,Cardinals,Johnny Olszewski 2 yard rush (Pat Summerall kick),7,7
2,2.0,Cardinals,Pat Summerall 17 yard field goal,7,10
3,3.0,Cardinals,Pat Summerall 10 yard field goal,7,13
4,4.0,Redskins,Chuck Drazenovich 1 yard rush (Bill Dudley kick),14,13
5,4.0,Redskins,Bill Dudley 15 yard field goal,17,13
6,4.0,Redskins,Leon Heath 14 yard rush (Bill Dudley kick),24,13
