,Quarter,Time,Tm,Detail,IND,MIA
0,1.0,8:10,Colts,Mike Vanderjagt 44 yard field goal,3,0
1,1.0,3:02,Dolphins,Olindo Mare 31 yard field goal,3,3
2,1.0,0:42,Colts,Edgerrin James 41 yard rush (Mike Vanderjagt kick),10,3
3,1.0,0:19,Colts,Chad Cota 25 yard defensive fumble return (Mike Vanderjagt kick),17,3
4,2.0,5:16,Dolphins,Oronde Gadsden 24 yard pass from Dan Marino (Olindo Mare kick),17,10
5,2.0,0:57,Colts,Edgerrin James 1 yard rush (Mike Vanderjagt kick),24,10
6,3.0,14:11,Dolphins,Sam Madison 21 yard interception return (Olindo Mare kick),24,17
7,3.0,9:28,Colts,Terrence Wilkins 5 yard pass from Peyton Manning (Mike Vanderjagt kick),31,17
8,3.0,3:53,Dolphins,Tony Martin 33 yard pass from Dan Marino (Olindo Mare kick),31,24
9,4.0,13:07,Dolphins,Stanley Pritchett 1 yard pass from Dan Marino (Olindo Mare kick),31,31
10,4.0,4:24,Colts,Mike Vanderjagt 48 yard field goal,34,31
11,4.0,0:36,Dolphins,Olindo Mare 32 yard field goal,34,34
12,4.0,0:00,Colts,Mike Vanderjagt 53 yard field goal,37,34
