,Quarter,Tm,Detail,WAS,BAL
0,1.0,Redskins,Mark Moseley 44 yard field goal,3,0
1,2.0,Redskins,Ricky Thompson 31 yard pass from Billy Kilmer (Mark Moseley kick),10,0
2,2.0,Colts,Reese McCall 19 yard pass from Bert Jones (Toni Linhart kick),10,7
3,3.0,Colts,Roger Carr 78 yard pass from Bert Jones (Toni Linhart kick),10,14
4,3.0,Redskins,John Riggins 1 yard rush (Mark Moseley kick),17,14
5,4.0,Colts,Roger Carr 27 yard pass from Bert Jones (Toni Linhart kick),17,21
