,Quarter,Tm,Detail,PHI,CHI
0,1.0,Bears,Bill Osmanski 65 yard rush,0,6
1,2.0,Bears,Les McDonald 7 yard pass from Bernie Masterson (Jack Manders kick),0,13
2,2.0,Bears,Eggs Manske 50 yard pass from Bernie Masterson (Jack Manders kick),0,20
3,2.0,Eagles,Red Ramsey 85 yard pass from Davey O'Brien (Fran Murray kick),7,20
4,3.0,Bears,Ray Nolting 3 yard rush (Dick Plasman kick),7,27
5,4.0,Eagles,Joe Bukant 3 yard rush (Fran Murray kick),14,27
