,Quarter,Time,Tm,Detail,BAL,SFO
0,1.0,,Ravens,Michael Jackson 65 yard pass from Vinny Testaverde (Matt Stover kick),7,0
1,1.0,,49ers,Terry Kirby 8 yard rush (Jeff Wilkins kick),7,7
2,1.0,,49ers,Jeff Wilkins 27 yard field goal,7,10
3,2.0,2:21,49ers,Jerry Rice 34 yard pass from Elvis Grbac (Jeff Wilkins kick),7,17
4,2.0,2:21,Ravens,Matt Stover 43 yard field goal,10,17
5,2.0,2:21,Ravens,Matt Stover 25 yard field goal,13,17
6,3.0,2:21,Ravens,James Jones 2 yard pass from Eric Zeier (Matt Stover kick),20,17
7,3.0,2:21,49ers,William Floyd 1 yard rush (Jeff Wilkins kick),20,24
8,4.0,2:21,49ers,Chris Doleman defensive fumble recovery in end zone (Jeff Wilkins kick),20,31
9,4.0,2:21,49ers,Elvis Grbac 1 yard rush (Jeff Wilkins kick),20,38
