,Quarter,Tm,Detail,DAY,DET
0,1.0,Wolverines,Len Sedbrook 10 yard pass from Benny Friedman (Benny Friedman kick),0,7
1,2.0,Wolverines,Benny Friedman 6 yard rush (Benny Friedman kick),0,14
2,3.0,Wolverines,Carl Bacchus 30 yard pass from Rex Thomas,0,20
3,4.0,Wolverines,Tiny Feather unknown yard rush (Benny Friedman kick),0,27
4,4.0,Wolverines,Rex Thomas 40 yard pass from Benny Friedman,0,33
