,Quarter,Time,Tm,Detail,TAM,DET
0,1.0,,Buccaneers,Michael Husted 30 yard field goal,3,0
1,2.0,,Buccaneers,Michael Husted 41 yard field goal,6,0
2,2.0,,Lions,Barry Sanders 54 yard rush (Jason Hanson kick),6,7
3,2.0,,Lions,Corey Raymond 24 yard interception return (Jason Hanson kick),6,14
4,3.0,,Lions,Herman Moore 23 yard pass from Scott Mitchell (Jason Hanson kick),6,21
