,Quarter,Time,Tm,Detail,NOR,STL
0,1.0,14:08,Rams,Isaac Bruce 51 yard pass from Az-Zahir Hakim (Jeff Wilkins kick),0,7
1,1.0,10:59,Rams,Ernie Conwell 2 yard rush (Jeff Wilkins kick),0,14
2,1.0,7:10,Saints,John Carney 33 yard field goal,3,14
3,2.0,13:34,Rams,Trung Canidate 1 yard rush (Jeff Wilkins kick),3,21
4,2.0,7:56,Saints,John Carney 44 yard field goal,6,21
5,2.0,1:26,Rams,Jeff Wilkins 54 yard field goal,6,24
6,3.0,14:02,Saints,Joe Horn 46 yard pass from Aaron Brooks (John Carney kick),13,24
7,3.0,11:39,Saints,John Carney 44 yard field goal,16,24
8,3.0,9:27,Saints,Joe Horn 6 yard pass from Aaron Brooks (run failed),22,24
9,3.0,7:36,Saints,Willie Jackson 49 yard pass from Aaron Brooks (pass failed),28,24
10,3.0,3:54,Saints,John Carney 23 yard field goal,31,24
11,4.0,7:20,Rams,Torry Holt 8 yard pass from Kurt Warner (Jeff Wilkins kick),31,31
12,4.0,0:01,Saints,John Carney 27 yard field goal,34,31
