,Quarter,Tm,Detail,BKN,CHI
0,2,Bears,Red Grange 10 yard rush (Tiny Engebretsen kick),0,7
1,3,Bears,Keith Molesworth 6 yard rush,0,13
2,4,Bears,Dick Nesbitt 1 yard rush (Luke Johnsos kick),0,20
