,Quarter,Tm,Detail,DET,WAS
0,2.0,Redskins,Eddie Saenz 30 yard pass from Sammy Baugh (Dick Poillon kick),0,7
1,2.0,Lions,Bob Cifers 32 yard pass from Dave Ryan (Damon Tassos kick),7,7
2,3.0,Redskins,Jim Gaffney 41 yard pass from Sammy Baugh (Dick Poillon kick),7,14
3,3.0,Redskins,Dick Poillon 25 yard field goal,7,17
4,4.0,Lions,"Safety, Greene blocked Baughs punt out of end zone",9,17
5,4.0,Lions,Ed Frutig 7 yard pass from Dave Ryan (Damon Tassos kick),16,17
