,Quarter,Time,Tm,Detail,GNB,ATL
0,1.0,8:15,Falcons,Roddy White 5 yard pass from Matt Ryan (Matt Bryant kick),0,7
1,2.0,12:26,Falcons,Michael Turner 1 yard rush (Matt Bryant kick),0,14
2,2.0,5:26,Packers,Mason Crosby 32 yard field goal,3,14
3,2.0,0:08,Packers,Mason Crosby 35 yard field goal,6,14
4,3.0,5:28,Packers,Mason Crosby 56 yard field goal,9,14
5,3.0,3:42,Packers,James Jones 70 yard pass from Aaron Rodgers (pass failed),15,14
6,4.0,14:51,Packers,Greg Jennings 29 yard pass from Aaron Rodgers (Mason Crosby kick),22,14
7,4.0,1:10,Packers,Mason Crosby 30 yard field goal,25,14
