,Quarter,Time,Tm,Detail,SFO,STL
0,1.0,8:23,Rams,Marshall Faulk 6 yard rush (Jeff Wilkins kick),0,7
1,1.0,0:05,Rams,Ricky Proehl 15 yard pass from Kurt Warner (Jeff Wilkins kick),0,14
2,2.0,7:59,49ers,Garrison Hearst 1 yard rush (Jose Cortez kick),7,14
3,2.0,0:38,Rams,Marshall Faulk 3 yard pass from Kurt Warner (Jeff Wilkins kick),7,21
4,3.0,3:04,Rams,Jeff Wilkins 22 yard field goal,7,24
5,4.0,9:47,Rams,Jeff Wilkins 39 yard field goal,7,27
6,4.0,4:42,49ers,Jeff Garcia 1 yard rush (Jose Cortez kick),14,27
