,Quarter,Time,Tm,Detail,CLE,MIN
0,1.0,,Vikings,Fuad Reveiz 23 yard field goal,0,3
1,2.0,,Vikings,Charles Evans 1 yard pass from Warren Moon (Fuad Reveiz kick),0,10
2,2.0,,Browns,Matt Stover 26 yard field goal,3,10
3,2.0,,Vikings,Fuad Reveiz 28 yard field goal,3,13
4,3.0,,Vikings,Jake Reed 9 yard pass from Warren Moon (Fuad Reveiz kick),3,20
5,4.0,,Vikings,Charles Evans 2 yard rush (Fuad Reveiz kick),3,27
6,4.0,,Browns,Earnest Byner 29 yard pass from Eric Zeier (Eric Zeier run),11,27
