,Quarter,Time,Tm,Detail,PIT,BAL
0,2.0,11:20,Ravens,Matt Stover 51 yard field goal,0,3
1,2.0,1:52,Ravens,Matt Stover 49 yard field goal,0,6
2,3.0,9:51,Steelers,Hines Ward 45 yard pass from Kordell Stewart (Kris Brown kick failed),6,6
3,3.0,5:53,Steelers,Kris Brown 24 yard field goal,9,6
