,Quarter,Time,Tm,Detail,NOR,DEN
0,2.0,,Broncos,Jason Elam 32 yard field goal,0,3
1,2.0,,Saints,Morten Andersen 26 yard field goal,3,3
2,2.0,,Saints,Michael Haynes 8 yard pass from Jim Everett (Morten Andersen kick),10,3
3,2.0,,Broncos,Jason Elam 30 yard field goal,10,6
4,2.0,,Saints,Torrance Small 36 yard pass from Jim Everett (Morten Andersen kick),17,6
5,3.0,,Broncos,Derrick Clark 4 yard rush (Shannon Sharpe pass from Hugh Millen),17,14
6,3.0,,Saints,Torrance Small 75 yard pass from Jim Everett (Morten Andersen kick),24,14
7,4.0,,Broncos,Derrick Clark 1 yard rush (Jason Elam kick),24,21
8,4.0,,Saints,Morten Andersen 37 yard field goal,27,21
9,4.0,,Saints,Morten Andersen 40 yard field goal,30,21
10,4.0,,Broncos,Shannon Sharpe 5 yard pass from Hugh Millen (Jason Elam kick),30,28
