,Quarter,Tm,Detail,DET,PHI
0,1.0,Lions,Jim Gibbons 10 yard pass from Milt Plum (Wayne Walker kick),7,0
1,1.0,Lions,Tom Nowatzke 1 yard rush (Wayne Walker kick),14,0
2,2.0,Eagles,Ollie Matson 9 yard pass from Norm Snead (Sam Baker kick),14,7
3,2.0,Lions,John Henderson 31 yard pass from Milt Plum (Wayne Walker kick),21,7
4,2.0,Eagles,Timmy Brown 2 yard rush (Sam Baker kick),21,14
5,3.0,Lions,Dick LeBeau 30 yard interception return (Wayne Walker kick),28,14
6,3.0,Eagles,Bob Shann 63 yard punt return (Sam Baker kick),28,21
7,3.0,Eagles,Ron Goodwin 9 yard pass from Norm Snead (Sam Baker kick),28,28
8,4.0,Lions,Tom Nowatzke 22 yard pass from Milt Plum (Wayne Walker kick),35,28
