,Quarter,Time,Tm,Detail,MIA,NWE
0,1.0,9:34,Dolphins,Dan Carpenter 52 yard field goal,3,0
1,1.0,6:58,Patriots,Laurence Maroney 1 yard rush (Stephen Gostkowski kick),3,7
2,2.0,9:05,Patriots,Stephen Gostkowski 30 yard field goal,3,10
3,2.0,6:11,Dolphins,Ricky Williams 15 yard rush (Dan Carpenter kick),10,10
4,2.0,2:45,Patriots,Stephen Gostkowski 38 yard field goal,10,13
5,2.0,0:00,Patriots,Stephen Gostkowski 34 yard field goal,10,16
6,3.0,4:51,Dolphins,Joey Haynos 1 yard pass from Ronnie Brown (Dan Carpenter kick),17,16
7,3.0,3:15,Patriots,Randy Moss 71 yard pass from Tom Brady (Randy Moss pass from Tom Brady ),17,24
8,4.0,1:09,Patriots,Stephen Gostkowski 40 yard field goal,17,27
