,Quarter,Time,Tm,Detail,MIN,BAL
0,1.0,5:50,Vikings,Gary Anderson 26 yard field goal,3,0
1,2.0,14:57,Ravens,Matt Stover 21 yard field goal,3,3
2,2.0,6:29,Ravens,Matt Stover 20 yard field goal,3,6
3,2.0,0:00,Ravens,Matt Stover 38 yard field goal,3,9
4,3.0,3:52,Ravens,Matt Stover 20 yard field goal,3,12
5,4.0,1:37,Ravens,Jamie Sharper 8 yard defensive fumble return (Matt Stover kick),3,19
