,Quarter,Time,Tm,Detail,NYG,DET
0,1.0,12:11,Lions,Calvin Johnson 67 yard pass from Matthew Stafford (Nate Freese kick),0,7
1,1.0,5:12,Lions,Calvin Johnson 16 yard pass from Matthew Stafford (Nate Freese kick),0,14
2,2.0,12:54,Giants,Larry Donnell 1 yard pass from Eli Manning (Josh Brown kick),7,14
3,3.0,11:54,Lions,Nate Freese 28 yard field goal,7,17
4,3.0,5:50,Lions,Nate Freese 27 yard field goal,7,20
5,3.0,3:51,Lions,Matthew Stafford 5 yard rush (Nate Freese kick),7,27
6,4.0,11:53,Giants,Rashad Jennings 1 yard rush (Josh Brown kick),14,27
7,4.0,4:39,Lions,Joique Bell 3 yard rush (Joseph Fauria pass from Matthew Stafford),14,35
