,Quarter,Time,Tm,Detail,NWE,ARI
0,1.0,8:56,Patriots,Lamont Warren 3 yard pass from Drew Bledsoe (Adam Vinatieri kick),7,0
1,1.0,1:13,Patriots,Shawn Jefferson 64 yard pass from Drew Bledsoe (Adam Vinatieri kick),14,0
2,2.0,4:45,Patriots,Shawn Jefferson 35 yard pass from Drew Bledsoe,20,0
3,3.0,9:57,Cardinals,Chris Jacke 24 yard field goal,20,3
4,4.0,14:20,Patriots,Terry Glenn 36 yard pass from Drew Bledsoe (Adam Vinatieri kick),27,3
