,Quarter,Time,Tm,Detail,MIA,IND
0,1.0,,Dolphins,Olindo Mare 22 yard field goal,3,0
1,2.0,,Colts,Mike Vanderjagt 51 yard field goal,3,3
2,2.0,,Dolphins,Oronde Gadsden 44 yard pass from Dan Marino (Olindo Mare kick),10,3
3,2.0,,Dolphins,Karim Abdul-Jabbar 4 yard rush (Olindo Mare kick),17,3
4,4.0,,Colts,Mike Vanderjagt 27 yard field goal,17,6
5,4.0,,Colts,Mike Vanderjagt 20 yard field goal,17,9
6,4.0,1:27,Dolphins,Terrell Buckley 21 yard interception return (Olindo Mare kick),24,9
7,4.0,0:04,Colts,Marvin Harrison 6 yard pass from Peyton Manning (pass failed),24,15
