,Quarter,Tm,Detail,MIN,PHI
0,1.0,Vikings,Sammy White 30 yard pass from Tommy Kramer (Rick Danmeier kick),7,0
1,2.0,Vikings,Ted Brown 1 yard rush (Rick Danmeier kick),14,0
2,2.0,Eagles,Harold Carmichael 9 yard pass from Ron Jaworski (Tony Franklin kick),14,7
3,3.0,Eagles,Wilbert Montgomery 8 yard rush (Tony Franklin kick),14,14
4,3.0,Vikings,"Safety, Martin and Blair tackled Jaworski in end zone",16,14
5,3.0,Eagles,Wilbert Montgomery 5 yard rush (Tony Franklin kick),16,21
6,4.0,Eagles,Tony Franklin 33 yard field goal,16,24
7,4.0,Eagles,Perry Harrington 2 yard rush (Tony Franklin kick),16,31
