,Quarter,Tm,Detail,NYG,NOR
0,1.0,Saints,Morten Andersen 27 yard field goal,0,3
1,2.0,Saints,Morten Andersen 41 yard field goal,0,6
2,2.0,Giants,Stephen Baker 85 yard pass from Jeff Hostetler (Paul McFadden kick),7,6
3,2.0,Saints,Morten Andersen 26 yard field goal,7,9
4,4.0,Giants,Paul McFadden 46 yard field goal,10,9
5,4.0,Saints,Morten Andersen 45 yard field goal,10,12
6,4.0,Giants,Paul McFadden 35 yard field goal,13,12
