,Quarter,Tm,Detail,PRT,CIN
0,2.0,Reds,Red Corzine unknown yard rush (Algy Clark kick),0,7
1,2.0,Reds,Biff Lee 24 yard field goal,0,10
2,4.0,Spartans,Glenn Presnell unknown yard rush (Glenn Presnell kick),7,10
