,Quarter,Tm,Detail,PHI,WAS
0,1.0,Eagles,Steve Van Buren 31 yard rush (Bobby Walston kick),7,0
1,1.0,Eagles,Clyde Scott 29 yard rush (Bobby Walston kick),14,0
2,2.0,Redskins,Bill Dudley 1 yard rush (Bill Dudley kick),14,7
3,2.0,Eagles,Steve Van Buren 1 yard rush (Bobby Walston kick),21,7
4,3.0,Eagles,Bobby Walston 14 yard pass from Adrian Burk (Bobby Walston kick),28,7
5,3.0,Redskins,Rob Goode 6 yard rush (Bill Dudley kick),28,14
6,4.0,Eagles,Bobby Walston 10 yard pass from Adrian Burk (Bobby Walston kick),35,14
7,4.0,Redskins,Rob Goode 2 yard rush (Bill Dudley kick),35,21
