,Quarter,Tm,Detail,NOR,DAL
0,1.0,Cowboys,Don Perkins 2 yard rush (Danny Villanueva kick),0,7
1,2.0,Saints,Dave Whitsell 26 yard interception return (Charlie Durkee kick),7,7
2,2.0,Cowboys,Lance Rentzel 20 yard pass from Craig Morton (Danny Villanueva kick),7,14
3,3.0,Saints,Charlie Durkee 47 yard field goal,10,14
