,Quarter,Tm,Detail,STL,TAM
0,1.0,Buccaneers,Louis Carter 1 yard rush (Dave Green kick),0,7
1,2.0,Buccaneers,Morris Owens 61 yard pass from Gary Huff (Dave Green kick),0,14
2,2.0,Cardinals,Wayne Morris 3 yard rush (Jim Bakken kick),7,14
3,3.0,Buccaneers,Dave Green 23 yard field goal,7,17
