,Quarter,Time,Tm,Detail,NOR,SFO
0,1.0,,49ers,Tommy Vardell 1 yard rush (Jeff Wilkins kick),0,7
1,1.0,,49ers,Jerry Rice 2 yard rush (Jeff Wilkins kick),0,14
2,2.0,,49ers,Jeff Wilkins 29 yard field goal,0,17
3,2.0,,49ers,Derek Loville 4 yard rush (Jeff Wilkins kick),0,24
4,3.0,,Saints,Doug Brien 35 yard field goal,3,24
5,4.0,,49ers,Jeff Wilkins 29 yard field goal,3,27
6,4.0,,Saints,Haywood Jeffires 3 yard pass from Jim Everett (Klaus Wilmsmeyer run),11,27
