,Quarter,Time,Tm,Detail,OAK,DET
0,1.0,7:54,Lions,Matt Prater 29 yard field goal,0,3
1,1.0,0:31,Lions,Matt Prater 41 yard field goal,0,6
2,2.0,0:02,Lions,Matt Prater 51 yard field goal,0,9
3,3.0,10:24,Raiders,Latavius Murray 1 yard rush (Sebastian Janikowski kick),7,9
4,3.0,3:55,Raiders,Sebastian Janikowski 48 yard field goal,10,9
5,3.0,0:15,Raiders,Sebastian Janikowski 56 yard field goal,13,9
6,4.0,11:04,Lions,Matthew Stafford 5 yard rush (Matt Prater kick),13,16
7,4.0,7:31,Lions,"Safety, Donald Penn penalty in end zone",13,18
