,Quarter,Tm,Detail,BAL,MIN
0,1.0,Vikings,Tommy Mason 51 yard rush (Fred Cox kick),0,7
1,1.0,Colts,Lenny Moore 2 yard rush (Lou Michaels kick),7,7
2,2.0,Vikings,Fred Cox 18 yard field goal,7,10
3,2.0,Vikings,Bill Brown 48 yard pass from Fran Tarkenton (Fred Cox kick),7,17
4,3.0,Colts,Jimmy Orr 18 yard pass from Johnny Unitas (Lou Michaels kick),14,17
5,3.0,Vikings,Bill Brown 1 yard rush (Fred Cox kick),14,24
6,3.0,Colts,Lenny Moore 70 yard pass from Johnny Unitas (Lou Michaels kick),21,24
7,4.0,Vikings,Paul Flatley 6 yard pass from Fran Tarkenton (Fred Cox kick),21,31
8,4.0,Colts,Lou Michaels 32 yard field goal,24,31
9,4.0,Vikings,Fred Cox 44 yard field goal,24,34
