,Quarter,Tm,Detail,PHI,DAL
0,1.0,Cowboys,Pettis Norman 9 yard pass from Don Meredith (Mike Clark kick),0,7
1,2.0,Cowboys,Rayfield Wright 15 yard pass from Don Meredith (Mike Clark kick),0,14
2,3.0,Eagles,John Mallory 58 yard pass from Sam Baker (Sam Baker kick),7,14
3,3.0,Cowboys,Don Perkins 1 yard rush (Mike Clark kick),7,21
4,4.0,Cowboys,Mike Clark 26 yard field goal,7,24
5,4.0,Cowboys,Mike Clark 21 yard field goal,7,27
6,4.0,Cowboys,Craig Baynham 22 yard rush (Mike Clark kick),7,34
7,4.0,Eagles,Mike Ditka 4 yard pass from Norm Snead (Sam Baker kick),14,34
